source_excel_row,survey_date_parsed,intersection_key,road_key,time_key,Lockdown,vph
7779,2021-09-20,จันทน์-นราธิวาส,จันทน์,16:00-19:00,1,904.3333333333334
7783,2021-09-20,จันทน์-นราธิวาส,นราธิวาสราชนครินทร์,09:00-16:00,1,2407.714285714286
7784,2021-09-20,จันทน์-นราธิวาส,จันทน์,09:00-16:00,1,937.1428571428571
7923,2021-10-15,หน้ารพ.พญาไท2,พหลโยธิน,07:00-09:00,0,1783.0
7924,2021-10-15,หน้ารพ.พญาไท2,พหลโยธิน,16:00-19:00,0,2735.6666666666665
7925,2021-10-15,หน้ารพ.พญาไท2,พหลโยธิน,09:00-16:00,0,2267.1428571428573
7978,2021-10-26,ประดิพัทธ์,พระรามที่6,07:00-09:00,0,1996.5
7982,2021-10-26,ประดิพัทธ์,ประดิพัทธ์,07:00-09:00,0,1237.5
7983,2021-10-26,ประดิพัทธ์,ประดิพัทธ์,09:00-16:00,0,1530.2857142857142
7984,2021-10-26,ประดิพัทธ์,ประดิพัทธ์,16:00-19:00,0,1400.6666666666667
7986,2021-10-26,ประดิพัทธ์,พระรามที่6,16:00-19:00,0,2017.3333333333333
7988,2021-10-26,ประดิพัทธ์,พระรามที่6,09:00-16:00,0,1982.0
8073,2021-11-01,ใกล้วัดดิสหงษาราม,เพชรบุรี,07:00-09:00,0,3333.5
8074,2021-11-01,ใกล้วัดดิสหงษาราม,เพชรบุรี,16:00-19:00,0,2733.6666666666665
8075,2021-11-01,ใกล้วัดดิสหงษาราม,เพชรบุรี,09:00-16:00,0,2752.1428571428573
8156,2021-11-16,หน้าโรงเรียนอินเตอร์คิดส์,ประชาร่วมใจ,07:00-09:00,0,1847.5
8159,2021-11-16,หน้าโรงเรียนอินเตอร์คิดส์,ประชาร่วมใจ,16:00-19:00,0,1267.6666666666667
8162,2021-11-16,หน้าโรงเรียนอินเตอร์คิดส์,ประชาร่วมใจ,09:00-16:00,0,1194.0
8349,2021-12-22,ห้วยขวาง,รัชดาภิเษก,07:00-09:00,0,5827.0
