source_excel_row,survey_date_parsed,covid_period,intersection_key,road_key,time_key,period_hours,total,vph
706,2017-07-25,ก่อนโควิด,มิตรไมตรี-มิตรไมตรี2,มิตรไมตรี,16:00-19:00,3.0,2876.0,958.6666666666666
707,2017-07-25,ก่อนโควิด,มิตรไมตรี-มิตรไมตรี2,มิตรไมตรี2,07:00-09:00,2.0,1700.0,850.0
708,2017-07-25,ก่อนโควิด,มิตรไมตรี-มิตรไมตรี2,มิตรไมตรี2,09:00-16:00,7.0,3481.0,497.2857142857143
709,2017-07-25,ก่อนโควิด,มิตรไมตรี-มิตรไมตรี2,มิตรไมตรี2,16:00-19:00,3.0,1324.0,441.3333333333333
737,2017-07-27,ก่อนโควิด,มไหสวรรย์,รัชดาภิเษก,07:00-09:00,2.0,1756.0,878.0
740,2017-07-27,ก่อนโควิด,มไหสวรรย์,มไหสวรรย์,07:00-09:00,2.0,2211.0,1105.5
741,2017-07-27,ก่อนโควิด,มไหสวรรย์,มไหสวรรย์,09:00-16:00,7.0,6606.0,943.7142857142857
742,2017-07-27,ก่อนโควิด,มไหสวรรย์,มไหสวรรย์,16:00-19:00,3.0,3427.0,1142.3333333333333
746,2017-07-31,ก่อนโควิด,หทัยราษฎร์-เลียบคลองสอง,หทัยราษฎร์,07:00-09:00,2.0,6364.0,3182.0
747,2017-07-31,ก่อนโควิด,หทัยราษฎร์-เลียบคลองสอง,หทัยราษฎร์,09:00-16:00,7.0,17576.0,2510.8571428571427
748,2017-07-31,ก่อนโควิด,หทัยราษฎร์-เลียบคลองสอง,หทัยราษฎร์,16:00-19:00,3.0,7421.0,2473.6666666666665
749,2017-07-31,ก่อนโควิด,หทัยราษฎร์-เลียบคลองสอง,เลียบคลองสอง,07:00-09:00,2.0,2367.0,1183.5
750,2017-07-31,ก่อนโควิด,หทัยราษฎร์-เลียบคลองสอง,เลียบคลองสอง,09:00-16:00,7.0,5547.0,792.4285714285714
751,2017-07-31,ก่อนโควิด,หทัยราษฎร์-เลียบคลองสอง,เลียบคลองสอง,16:00-19:00,3.0,3236.0,1078.6666666666667
764,2017-08-02,ก่อนโควิด,พุทธมณฑลสาย3,พุทธมณฑลสาย3,07:00-09:00,2.0,2460.0,1230.0
767,2017-08-02,ก่อนโควิด,พุทธมณฑลสาย3,เพชรเกษม,07:00-09:00,2.0,10166.0,5083.0
773,2017-08-04,ก่อนโควิด,เตาปูน,ประชาราษฎร์,07:00-09:00,2.0,2114.0,1057.0
776,2017-08-04,ก่อนโควิด,เตาปูน,ประชาราษฎร์สาย2,07:00-09:00,2.0,3365.0,1682.5
797,2017-08-09,ก่อนโควิด,สะพานแดง,พระรามที่5,07:00-09:00,2.0,854.0,427.0
798,2017-08-09,ก่อนโควิด,สะพานแดง,พระรามที่5,09:00-16:00,7.0,4312.0,616.0
799,2017-08-09,ก่อนโควิด,สะพานแดง,พระรามที่5,16:00-19:00,3.0,1877.0,625.6666666666666
800,2017-08-09,ก่อนโควิด,สะพานแดง,เตชะวณิช,07:00-09:00,2.0,2480.0,1240.0
801,2017-08-09,ก่อนโควิด,สะพานแดง,เตชะวณิช,09:00-16:00,7.0,6860.0,980.0
802,2017-08-09,ก่อนโควิด,สะพานแดง,เตชะวณิช,16:00-19:00,3.0,2613.0,871.0
